year,city,country,glo_avg_temp,jax_avg_temp,10_year_avg_temp,20_year_avg_temp
1743,Jacksonville,United States,8.72,17.55,,
1744,Jacksonville,United States,7.98,21.98,,
1745,Jacksonville,United States,5.78,16.35,,
1746,Jacksonville,United States,8.39,,,
1747,Jacksonville,United States,8.47,,,
1748,Jacksonville,United States,8.36,,,
1749,Jacksonville,United States,8.85,,,
1750,Jacksonville,United States,9.02,21.36,,
1751,Jacksonville,United States,6.74,21.65,,
1752,Jacksonville,United States,7.99,17.8,,
1753,Jacksonville,United States,7.19,21.01,19,
1754,Jacksonville,United States,8.77,21.07,20,
1755,Jacksonville,United States,8.61,19.67,20,
1756,Jacksonville,United States,7.5,21.42,20,
1757,Jacksonville,United States,8.4,20.85,21,
1758,Jacksonville,United States,8.25,19.54,21,
1759,Jacksonville,United States,8.41,20.57,20,
1760,Jacksonville,United States,8.22,19.49,20,
1761,Jacksonville,United States,6.78,21.39,20,
1762,Jacksonville,United States,7.69,20.97,20,
1763,Jacksonville,United States,7.69,19.36,21,20
1764,Jacksonville,United States,7.85,21.28,20,20
1765,Jacksonville,United States,8.19,20.99,20,20
1766,Jacksonville,United States,8.22,21.43,21,21
1767,Jacksonville,United States,8.77,20.63,21,21
1768,Jacksonville,United States,9.18,19.82,21,21
1769,Jacksonville,United States,8.3,20.77,21,21
1770,Jacksonville,United States,8.26,20.63,21,21
1771,Jacksonville,United States,8.54,21.39,21,21
1772,Jacksonville,United States,8.98,21.26,21,21
1773,Jacksonville,United States,9.43,21.33,21,21
1774,Jacksonville,United States,8.1,21.16,21,21
1775,Jacksonville,United States,7.9,21.86,21,21
1776,Jacksonville,United States,7.68,20.89,21,21
1777,Jacksonville,United States,7.86,20.62,21,21
1778,Jacksonville,United States,7.36,19.3,21,21
1779,Jacksonville,United States,8.26,16.63,21,21
1780,Jacksonville,United States,8.03,,21,21
1781,Jacksonville,United States,8.45,21.09,20,21
1782,Jacksonville,United States,8.33,20.66,20,21
1783,Jacksonville,United States,7.98,20.44,20,21
1784,Jacksonville,United States,8.23,20.49,20,21
1785,Jacksonville,United States,8.09,20.22,20,21
1786,Jacksonville,United States,8.23,20.78,20,21
1787,Jacksonville,United States,8.53,20.82,20,21
1788,Jacksonville,United States,8.35,21.24,20,21
1789,Jacksonville,United States,8.27,21.01,20,21
1790,Jacksonville,United States,8.51,20.9,21,21
1791,Jacksonville,United States,8.67,21.15,21,21
1792,Jacksonville,United States,8.51,20.68,21,21
1793,Jacksonville,United States,8.48,21.1,21,21
1794,Jacksonville,United States,8.59,21.24,21,21
1795,Jacksonville,United States,8.58,21.05,21,21
1796,Jacksonville,United States,8.5,20.84,21,21
1797,Jacksonville,United States,8.84,20.86,21,21
1798,Jacksonville,United States,8.56,21.49,21,21
1799,Jacksonville,United States,8.43,21.22,21,21
1800,Jacksonville,United States,8.28,21.05,21,21
1801,Jacksonville,United States,7.63,21.38,21,21
1802,Jacksonville,United States,7.08,21.57,21,21
1803,Jacksonville,United States,6.92,21.42,21,21
1804,Jacksonville,United States,6.86,21.44,21,21
1805,Jacksonville,United States,7.05,21.5,21,21
1806,Jacksonville,United States,7.74,21.12,21,21
1807,Jacksonville,United States,7.59,20.9,21,21
1808,Jacksonville,United States,7.24,20.74,21,21
1809,Jacksonville,United States,6.94,19.91,21,21
1810,Jacksonville,United States,6.98,20.01,21,21
1811,Jacksonville,United States,7.83,20.18,21,21
1812,Jacksonville,United States,7.37,19.53,21,21
1813,Jacksonville,United States,7.62,20.5,21,21
1814,Jacksonville,United States,8.09,20.24,21,21
1815,Jacksonville,United States,8.19,19.96,20,21
1816,Jacksonville,United States,7.72,19.55,20,21
1817,Jacksonville,United States,8.55,19.63,20,21
1818,Jacksonville,United States,8.39,20.29,20,21
1819,Jacksonville,United States,8.36,20.19,20,21
1820,Jacksonville,United States,8.81,20.3,20,21
1821,Jacksonville,United States,8.17,20.3,20,21
1822,Jacksonville,United States,7.94,21.19,20,20
1823,Jacksonville,United States,8.52,20.49,20,20
1824,Jacksonville,United States,7.64,21.39,20,20
1825,Jacksonville,United States,7.45,21.42,20,20
1826,Jacksonville,United States,8.01,21.42,20,20
1827,Jacksonville,United States,8.15,21.93,21,20
1828,Jacksonville,United States,7.39,22.68,21,20
1829,Jacksonville,United States,7.7,20.96,21,21
1830,Jacksonville,United States,7.38,22.21,21,21
1831,Jacksonville,United States,7.51,20.7,21,21
1832,Jacksonville,United States,7.63,21.16,21,21
1833,Jacksonville,United States,7.8,21.21,21,21
1834,Jacksonville,United States,7.69,21.84,22,21
1835,Jacksonville,United States,8.02,20.94,22,21
1836,Jacksonville,United States,8.17,20.57,22,21
1837,Jacksonville,United States,7.65,21.11,21,21
1838,Jacksonville,United States,7.85,20.7,21,21
1839,Jacksonville,United States,8.55,21.09,21,21
1840,Jacksonville,United States,8.09,21.18,21,21
1841,Jacksonville,United States,7.98,20.66,21,21
1842,Jacksonville,United States,7.98,21.05,21,21
1843,Jacksonville,United States,7.9,20.21,21,21
1844,Jacksonville,United States,8.18,20.53,21,21
1845,Jacksonville,United States,8.1,20.23,21,21
1846,Jacksonville,United States,8.04,20.73,21,21
1847,Jacksonville,United States,8.21,20.66,21,21
1848,Jacksonville,United States,8.11,20.91,21,21
1849,Jacksonville,United States,8,21.35,21,21
1850,Jacksonville,United States,7.76,21.31,21,21
1851,Jacksonville,United States,8.1,20.86,21,21
1852,Jacksonville,United States,8.25,20.83,21,21
1853,Jacksonville,United States,7.96,21.13,21,21
1854,Jacksonville,United States,7.85,21.06,21,21
1855,Jacksonville,United States,7.56,20.87,21,21
1856,Jacksonville,United States,8.11,20.39,21,21
1857,Jacksonville,United States,7.98,20.19,21,21
1858,Jacksonville,United States,8.18,20.89,21,21
1859,Jacksonville,United States,8.29,21.05,21,21
1860,Jacksonville,United States,8.44,21.15,21,21
1861,Jacksonville,United States,8.25,21.15,21,21
1862,Jacksonville,United States,8.43,21.41,21,21
1863,Jacksonville,United States,8.2,20.89,21,21
1864,Jacksonville,United States,8.12,20.59,21,21
1865,Jacksonville,United States,8.19,21.3,21,21
1866,Jacksonville,United States,8.35,20.99,21,21
1867,Jacksonville,United States,8.43,21.14,21,21
1868,Jacksonville,United States,7.86,20.66,21,21
1869,Jacksonville,United States,8.08,21.26,21,21
1870,Jacksonville,United States,8.54,20.91,21,21
1871,Jacksonville,United States,8.83,21.29,21,21
1872,Jacksonville,United States,8.17,20.43,21,21
1873,Jacksonville,United States,8.12,20.5,21,21
1874,Jacksonville,United States,8.27,20.97,21,21
1875,Jacksonville,United States,8.13,20.75,21,21
1876,Jacksonville,United States,7.98,20.57,21,21
1877,Jacksonville,United States,7.77,20.84,21,21
1878,Jacksonville,United States,7.92,20.9,21,21
1879,Jacksonville,United States,7.95,21.01,21,21
1880,Jacksonville,United States,7.91,21.52,21,21
1881,Jacksonville,United States,8.09,21.28,21,21
1882,Jacksonville,United States,8.32,21.46,21,21
1883,Jacksonville,United States,7.97,21.57,21,21
1884,Jacksonville,United States,8.02,21.14,21,21
1885,Jacksonville,United States,8.07,20.21,21,21
1886,Jacksonville,United States,8.06,20.14,21,21
1887,Jacksonville,United States,8.16,20.67,21,21
1888,Jacksonville,United States,8.15,20.91,21,21
1889,Jacksonville,United States,8.21,20.44,21,21
1890,Jacksonville,United States,8.29,21.46,21,21
1891,Jacksonville,United States,8.18,20.79,21,21
1892,Jacksonville,United States,8.4,20.4,21,21
1893,Jacksonville,United States,8.5,20.96,21,21
1894,Jacksonville,United States,8.54,21.04,21,21
1895,Jacksonville,United States,8.3,20.28,21,21
1896,Jacksonville,United States,8.22,20.95,21,21
1897,Jacksonville,United States,8.09,21.38,21,21
1898,Jacksonville,United States,8.23,21.04,21,21
1899,Jacksonville,United States,8.38,21.02,21,21
1900,Jacksonville,United States,7.95,20.95,21,21
1901,Jacksonville,United States,8.19,19.81,21,21
1902,Jacksonville,United States,8.18,20.91,21,21
1903,Jacksonville,United States,8.22,20.38,21,21
1904,Jacksonville,United States,8.18,20.4,21,21
1905,Jacksonville,United States,8.17,20.86,21,21
1906,Jacksonville,United States,8.3,20.89,21,21
1907,Jacksonville,United States,8.59,21.38,21,21
1908,Jacksonville,United States,8.59,21.27,21,21
1909,Jacksonville,United States,8.23,21.11,21,21
1910,Jacksonville,United States,8.02,20.23,21,21
1911,Jacksonville,United States,8.13,21.99,21,21
1912,Jacksonville,United States,8.38,21.14,21,21
1913,Jacksonville,United States,8.36,21.22,21,21
1914,Jacksonville,United States,8.57,20.66,21,21
1915,Jacksonville,United States,8.41,20.89,21,21
1916,Jacksonville,United States,8.42,21.16,21,21
1917,Jacksonville,United States,8.51,20.64,21,21
1918,Jacksonville,United States,8.53,21.18,21,21
1919,Jacksonville,United States,8.73,21.38,21,21
1920,Jacksonville,United States,8.52,20.41,21,21
1921,Jacksonville,United States,8.63,21.61,21,21
1922,Jacksonville,United States,8.24,21.62,21,21
1923,Jacksonville,United States,8.63,21.25,21,21
1924,Jacksonville,United States,8.72,20.74,21,21
1925,Jacksonville,United States,8.71,21.37,21,21
1926,Jacksonville,United States,8.34,20.77,21,21
1927,Jacksonville,United States,8.63,21.76,21,21
1928,Jacksonville,United States,8.52,20.72,21,21
1929,Jacksonville,United States,8.55,21.57,21,21
1930,Jacksonville,United States,8.7,20.66,21,21
1931,Jacksonville,United States,8.86,21.28,21,21
1932,Jacksonville,United States,8.76,21.88,21,21
1933,Jacksonville,United States,8.76,21.72,21,21
1934,Jacksonville,United States,8.77,21.19,21,21
1935,Jacksonville,United States,8.73,21.33,21,21
1936,Jacksonville,United States,8.76,21.15,21,21
1937,Jacksonville,United States,8.85,21.16,21,21
1938,Jacksonville,United States,8.58,21.32,21,21
1939,Jacksonville,United States,8.68,21.62,21,21
1940,Jacksonville,United States,8.8,20.15,21,21
1941,Jacksonville,United States,8.75,21.2,21,21
1942,Jacksonville,United States,8.59,20.95,21,21
1943,Jacksonville,United States,8.37,21.03,21,21
1944,Jacksonville,United States,8.63,21.26,21,21
1945,Jacksonville,United States,8.64,21.69,21,21
1946,Jacksonville,United States,8.87,21.91,21,21
1947,Jacksonville,United States,8.56,21.31,21,21
1948,Jacksonville,United States,8.63,22.06,21,21
1949,Jacksonville,United States,8.28,22.05,21,21
1950,Jacksonville,United States,8.73,21.32,21,21
1951,Jacksonville,United States,8.77,21.31,21,21
1952,Jacksonville,United States,8.73,21.31,21,21
1953,Jacksonville,United States,8.58,21.66,22,21
1954,Jacksonville,United States,8.8,21.22,22,21
1955,Jacksonville,United States,8.75,21.25,22,21
1956,Jacksonville,United States,8.86,21.17,22,21
1957,Jacksonville,United States,8.41,21.73,21,21
1958,Jacksonville,United States,8.53,20.56,22,21
1959,Jacksonville,United States,8.6,21.55,21,21
1960,Jacksonville,United States,8.7,20.76,21,21
1961,Jacksonville,United States,8.52,21.3,21,21
1962,Jacksonville,United States,8.6,21.1,21,21
1963,Jacksonville,United States,8.7,20.76,21,21
1964,Jacksonville,United States,8.6,21.19,21,21
1965,Jacksonville,United States,8.5,21.17,21,21
1966,Jacksonville,United States,8.95,20.6,21,21
1967,Jacksonville,United States,8.47,21.27,21,21
1968,Jacksonville,United States,8.74,20.4,21,21
1969,Jacksonville,United States,8.35,20.61,21,21
1970,Jacksonville,United States,8.85,20.99,21,21
1971,Jacksonville,United States,8.69,21.54,21,21
1972,Jacksonville,United States,8.73,21.71,21,21
1973,Jacksonville,United States,8.98,21.44,21,21
1974,Jacksonville,United States,9.17,21.7,21,21
1975,Jacksonville,United States,8.64,21.88,21,21
1976,Jacksonville,United States,9.03,20.59,21,21
1977,Jacksonville,United States,8.69,20.87,21,21
1978,Jacksonville,United States,8.66,20.99,21,21
1979,Jacksonville,United States,8.83,21.1,21,21
1980,Jacksonville,United States,8.99,21.08,21,21
1981,Jacksonville,United States,9.2,20.73,21,21
1982,Jacksonville,United States,8.92,22.05,21,21
1983,Jacksonville,United States,9.23,20.73,21,21
1984,Jacksonville,United States,9.18,21.16,21,21
1985,Jacksonville,United States,8.84,21.7,21,21
1986,Jacksonville,United States,8.87,22.05,21,21
1987,Jacksonville,United States,9.04,21.1,21,21
1988,Jacksonville,United States,9.35,20.81,21,21
1989,Jacksonville,United States,9.04,21.64,21,21
1990,Jacksonville,United States,9.2,22.57,21,21
1991,Jacksonville,United States,9.52,22.09,21,21
1992,Jacksonville,United States,9.29,21.25,22,21
1993,Jacksonville,United States,9.2,21.27,22,21
1994,Jacksonville,United States,9.41,21.99,22,21
1995,Jacksonville,United States,9.57,21.6,22,21
1996,Jacksonville,United States,9.53,21.07,22,21
1997,Jacksonville,United States,9.32,21.76,22,21
1998,Jacksonville,United States,9.7,22.65,22,21
1999,Jacksonville,United States,9.53,21.85,22,22
2000,Jacksonville,United States,9.73,21.31,22,22
2001,Jacksonville,United States,9.43,21.75,22,22
2002,Jacksonville,United States,9.51,21.96,22,22
2003,Jacksonville,United States,9.7,21.65,22,22
2004,Jacksonville,United States,9.52,21.68,22,22
2005,Jacksonville,United States,9.51,21.57,22,22
2006,Jacksonville,United States,9.61,22.01,22,22
2007,Jacksonville,United States,9.57,22.21,22,22
2008,Jacksonville,United States,9.83,21.67,22,22
2009,Jacksonville,United States,,21.94,22,22
2010,Jacksonville,United States,,20.81,22,22
2011,Jacksonville,United States,,22.12,22,22
2012,Jacksonville,United States,,22.23,22,22
2013,Jacksonville,United States,,22.49,22,22
